old_body,new_body
39215171139,77690
56057398858,31191
10433857116,57977
26381649500,21223
59415463498,49650
37992007236,86907
10799285856,54492
22769305168,63205
17306748491,18718
30134503082,27724
14109640229,11473
42900391604,75451
12053382756,24221
30562584201,95491
10004989572,70804
29313992323,63099
28019525255,82658
7568885409,10281
17434412549,86754
13240108555,56108
59379812032,74187
28050458315,62643
37990434443,25021
28582348496,48623
7512524431,62579
39994525396,31792
44164974294,98243
15757739720,16223
2152203992,38591
31842895444,29957
45407012587,94822
50315658981,97898
44525684449,58379
16048719608,92582
49070212760,40133
50690787062,86865
29387654902,88592
11218454135,29333
24839194354,12795
40428897855,55562
46655604333,80253
5028972099,18618
14830274214,50814
33066845948,32740
12058101508,54615
39690142803,82007
935331588,30392
20320618239,76612
32599967413,68992
41663072024,57516
26072581922,82199
22404663062,72450
6747588371,90024
28853405375,33198
37641520831,56256
17802987226,71355
21439186749,14298
9124972177,20100
11204298391,51749
16094594801,41522
28029748804,63674
56475256388,48089
25317082686,32065
6302729889,70225
44607211337,48338
17340040868,16636
44607211333,51995
44607211326,49261
719939176094,98840
44607211328,46807
34730673989,30533
6726092607,72448
45042632365,74907
2601518948,41217
17863280381,35345
