body,size
10943,2978262905
10946,2977162469
10941,2977155621
10954,2976742004
10950,2973644088
10961,2973447433
10951,2972119468
10947,2971536847
10963,2971497102
10962,2971233265
10955,2970852420
10949,2970380399
10960,2969455774
10959,2965473006
11003,2965395965
10958,2963915105
10968,2963252685
10969,2960603165
10965,2959969060
10964,2959901074
10971,2958275121
10973,2955707966
10966,2954876369
10975,2954566621
10967,2954054770
10970,2952651309
10972,2949296990
10981,2946661270
10982,2942874550
10974,2942155893
10985,2940829620
10978,2940423853
10983,2939282563
10976,2938539511
10986,2937874678
10979,2935545645
10980,2934921358
10991,2931093835
10989,2931045591
10992,2930282657
10993,2929239037
10984,2928905701
10988,2928592201
10987,2927833982
100524,2925496410
10990,2922465554
11000,2919957242
11005,2918428616
10998,2915814539
10994,2911336852
10996,2907865637
10997,2907692043
10995,2907321686
11002,2906377210
11001,2906042170
11017,2905346631
10999,2903569415
11010,2903348252
11019,2901557124
11014,2899789590
11004,2898917606
11007,2898677004
11006,2896764431
11011,2896216667
11013,2896065421
11025,2895894075
11008,2893753880
11009,2892360162
11012,2888549461
10588,2888102828
11037,2887119045
11020,2886440059
11015,2884572287
11022,2884285749
11021,2883886222
11018,2883824369
11016,2883074952
10236,2877940645
11024,2877169584
11034,2876097080
11023,2875626593
11028,2873271904
11038,2872069088
11026,2871924000
10444,2871480292
11029,2870883178
11035,2869210722
11047,2869157125
11027,2868444262
11043,2868344066
11036,2867983319
11031,2867466182
11040,2867187744
11039,2867176654
11030,2866100671
11048,2865621947
11032,2865460049
11044,2864035325
11033,2863406774
11051,2860729757
10408,2857624360
11041,2857575775
11042,2855204198
11046,2853574758
11061,2853566316
11050,2852299769
11049,2851815839
11045,2851309372
11053,2849647076
101812,2847157556
10514,2845175123
11056,2844182222
11073,2843118503
11054,2842264312
11052,2841926293
11058,2841420214
11057,2841102179
11060,2840616178
11055,2840301522
11095,2840167293
11066,2838010055
11069,2837966304
11082,2837503997
11067,2837482349
11110,2834749438
11062,2834078001
11063,2832084741
11059,2832038895
11065,2831198867
11076,2829743108
11081,2829400145
11064,2828147240
11068,2827774988
11070,2826193744
11078,2824007134
11077,2823745137
11098,2819864049
11075,2818728280
11074,2817656902
11071,2816512975
11072,2815334525
11079,2812198111
11080,2811400714
11084,2810819858
11087,2810475857
11085,2808825139
11091,2808657705
11083,2808273844
11094,2807864721
11107,2807589315
11088,2807197549
11086,2806205476
11118,2806124290
11105,2805451169
11096,2804458509
11090,2803686033
11089,2801798964
10602,2799569370
11099,2798006516
11093,2797951539
11111,2797939968
11092,2797745646
11113,2793744848
11151,2792773296
11097,2791962386
11104,2791469558
102250,2790606249
11103,2790530241
11101,2789016905
11100,2787341308
11102,2785634133
10072,2785073559
11112,2784389047
11117,2781871865
11106,2781758401
11108,2781597538
11109,2777843545
11122,2776851758
11114,2774838310
11115,2773770217
11116,2773455793
11119,2770803428
11126,2769227876
11130,2768516536
11120,2767193396
11132,2766825451
11131,2766617947
11128,2766208412
11121,2765032414
11127,2764882765
11123,2764717289
11124,2764323519
11125,2764138211
11156,2762414248
11129,2759073145
11134,2758338172
11136,2756205805
11157,2754966957
11133,2754522671
