body,boxed_size,full_size
43758115391,32893,32893
43758151748,32874,32874
44168432088,32873,33988
44172049942,32818,76778
44168467698,32776,32776
43758115860,32651,32651
44168511250,32598,32598
43351300703,32570,42769
43754578852,32567,34074
44168471397,32555,32555
43761695637,32544,32544
43761694414,32477,32477
43761651465,32454,51226
43758155404,32439,34108
43758118216,32428,32428
44172047190,32406,32406
44164932552,32392,32392
43351340268,32391,33413
43347803220,32366,32443
43761650756,32311,46976
43347759711,32280,109062
43351340416,32148,32242
43761652560,32131,32131
44172006852,32067,32067
44168470624,32056,32056
44168508634,32026,32026
44172011205,32009,32009
43344227169,31905,31905
44172008905,31903,31903
44168510797,31900,31900
42937446605,31885,778719
43761693153,31880,31880
43754578275,31878,46723
43761690624,31746,31746
43758114062,31649,31649
44168507211,31597,31597
43758075128,31519,31519
43754660657,31511,74572
44168513500,31455,34038
43758156065,31448,31448
44168471796,31438,31438
44168472587,31407,31407
43754616761,31392,63919
44164974029,31305,31477
44168512154,31268,31268
43761613746,31213,31755
43351340155,31199,37088
43754581009,31137,93806
44168471214,31135,31135
43761693631,31113,31113
43761652718,31062,31062
43347803397,31054,31054
43761654126,31046,31046
44164898455,30964,44201
43758113818,30938,30938
43758113536,30929,30929
44168469423,30851,30851
43754618886,30832,42979
44164973388,30759,31615
44164969652,30746,33230
43754580116,30732,36634
43351340467,30724,30753
43761694522,30681,30681
44172044515,30590,30629
43758113114,30581,30581
44172044249,30531,30531
43758152578,30523,30523
43347722894,30504,30896
43758154369,30463,30463
43758155857,30310,30310
43761690224,30242,30242
43347802862,30147,68833
44168473481,30144,30144
43758114875,30125,30125
43761650878,30123,30123
43758155728,30116,30116
44168509854,30053,30053
44168513347,30011,30011
43758118065,30001,30001
44164969700,29999,29999
43758156817,29980,29980
43758116444,29969,29969
43758155382,29951,29951
43758112770,29943,29943
44172010962,29832,50382
43758079101,29816,35841
44164899425,29774,70644
43761653229,29769,29769
43761651718,29737,29737
44172009995,29707,29707
43758153331,29679,29679
43354761144,29565,991569
43761613700,29536,29536
43347763239,29442,36318
43761693866,29424,29424
44172011685,29419,35845
43758073689,29389,29389
43758151697,29383,29594
44168467801,29291,29291
44171967701,29275,4006559
43347763607,29201,29201
44172048329,29193,29193
43758153760,29144,67816
43758112707,29102,29102
43761689985,29096,29096
43761695746,29092,29092
44172004906,29071,29071
43351300410,29067,45242
43761690555,28980,31879
44168473276,28884,31939
44172051367,28848,88589
44168507559,28834,28834
43761653075,28828,28828
43754617098,28760,31507
44164931230,28755,28755
44164936047,28748,62104
44172046877,28701,28701
43758155406,28644,28644
44168468848,28634,28634
43754581329,28610,34089
43761654374,28599,28599
43758115903,28574,28574
44168511897,28562,3392972
44172010687,28557,28557
43761692402,28540,38904
44168510749,28503,128029
43758118309,28484,28484
43758119300,28474,28474
